,,,,,,,Active Nosepokes ,,,,,,,,,,,,,,,Inactive Nosepokes ,,,,,,,,,,,,,,,Pellets Earned ,,,,,,,,,,,,,,,Pellets Consumed ,,,,,,,,,,,,,,
Group,ID,Sex,FR1 Training Days ,Met Criteria,Days to criterion,Total days of training ,Active_Nosepokes_Day1,Active_Nosepokes_Day2,Active_Nosepokes_Day3,Active_Nosepokes_Day4,Active_Nosepokes_Day5,Active_Nosepokes_Day6,Active_Nosepokes_Day7,Active_Nosepokes_Day8,Active_Nosepokes_Day9,Active_Nosepokes_Day10,Active_Nosepokes_Day11,Active_Nosepokes_Day12,Active_Nosepokes_Day13,Active_Nosepokes_Day14,Active_Nosepokes_Day15,Inactive_Nosepokes_Day1,Inactive_Nosepokes_Day2,Inactive_Nosepokes_Day3,Inactive_Nosepokes_Day4,Inactive_Nosepokes_Day5,Inactive_Nosepokes_Day6,Inactive_Nosepokes_Day7,Inactive_Nosepokes_Day8,Inactive_Nosepokes_Day9,Inactive_Nosepokes_Day10,Inactive_Nosepokes_Day11,Inactive_Nosepokes_Day12,Inactive_Nosepokes_Day13,Inactive_Nosepokes_Day14,Inactive_Nosepokes_Day15,Pellets_Earned_Day1,Pellets_Earned_Day2,Pellets_Earned_Day3,Pellets_Earned_Day4,Pellets_Earned_Day5,Pellets_Earned_Day6,Pellets_Earned_Day7,Pellets_Earned_Day8,Pellets_Earned_Day9,Pellets_Earned_Day10,Pellets_Earned_Day11,Pellets_Earned_Day12,Pellets_Earned_Day13,Pellets_Earned_Day14,Pellets_Earned_Day15,Pellets_Consumed_Day1,Pellets_Consumed_Day2,Pellets_Consumed_Day3,Pellets_Consumed_Day4,Pellets_Consumed_Day5,Pellets_Consumed_Day6,Pellets_Consumed_Day7,Pellets_Consumed_Day8,Pellets_Consumed_Day9,Pellets_Consumed_Day10,Pellets_Consumed_Day11,Pellets_Consumed_Day12,Pellets_Consumed_Day13,Pellets_Consumed_Day14,Pellets_Consumed_Day15
D,23675-9,F,15,No,N/A,15,7,12,14,17,11,12,14,14,14,18,14,15,13,14,9,5,3,7,14,6,7,6,4,5,14,11,10,25,9,5,7,12,13,16,11,12,13,14,14,18,14,14,13,14,9,7,12,13,16,9,11,13,14,14,16,14,14,13,14,9
D,23675-10,F,15,No,N/A,15,9,11,15,14,4,13,9,9,13,16,8,15,13,15,13,4,3,4,6,3,7,3,5,4,4,3,8,10,7,7,9,10,11,13,4,13,9,9,12,15,8,14,12,15,12,9,10,11,13,4,12,8,9,12,15,7,14,12,15,12
D,23675-11,F,15,No,N/A,15,7,9,7,12,11,13,12,11,11,12,14,15,10,14,15,2,6,9,6,2,5,3,7,4,5,6,5,3,7,9,7,9,7,12,11,13,12,11,11,12,13,15,10,14,15,6,9,7,12,11,13,12,11,11,11,13,15,10,14,15
D,23675-14,F,15,No,N/A,15,12,9,4,12,12,16,9,10,12,11,10,14,14,19,15,7,4,5,7,6,14,12,3,11,3,17,19,2,5,7,12,9,4,12,11,16,9,10,12,10,10,13,13,19,15,9,9,4,10,11,13,9,10,8,10,10,13,9,16,14
D,23675-15,F,15,No,N/A,15,10,8,15,14,11,11,10,8,11,10,9,14,9,13,12,7,6,7,15,5,10,4,7,4,9,4,10,3,10,5,10,8,15,14,11,10,10,7,10,10,8,13,8,13,12,10,8,15,14,11,10,8,7,10,10,8,13,8,12,11
D,23567-1,M,11,Yes,11,9,7,7,10,8,12,8,13,9,10,,,,,,,9,5,10,7,5,0,2,4,2,,,,,,,7,7,10,8,11,8,13,9,9,,,,,,,7,7,9,8,11,8,13,8,9,,,,,,
D,23567-3,M,6,Yes,6,6,8,13,10,11,10,8,,,,,,,,,,3,6,1,1,3,1,,,,,,,,,,8,13,9,11,10,8,,,,,,,,,,7,13,9,10,10,8,,,,,,,,,
D,23567-4,M,13,No,N/A,13,12,12,7,8,9,6,11,12,12,10,13,8,9,,,5,5,4,1,4,8,1,6,3,5,4,6,2,,,12,12,7,8,9,6,11,12,12,10,13,8,9,,,11,12,7,8,9,6,10,12,11,10,12,8,9,,
D,23567-6,M,3,Yes,3,3,7,3,4,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,7,2,4,,,,,,,,,,,,,7,2,4,,,,,,,,,,,,
D,23568-2,M,15,No ,N/A,15,8,10,8,9,7,10,6,10,10,10,11,14,13,9,8,4,3,8,9,1,6,1,4,8,3,3,1,5,4,2,7,10,8,9,6,10,6,10,10,9,10,13,13,9,8,7,10,8,7,6,10,6,10,10,9,10,13,13,8,7
